iso-639-3	name	value	description	latitude	longitude	family
agr	Aguaruna	D	none	-5.30044	-77.92179	Chicham
apy	Apalaí	A	verbal morphology	1.49792	-54.7457	Cariban
apu	Apurinã	A	verbal morphology	-8.21692	-66.77141	Arawakan
arh	Arhuaco	D	none	10.70184	-73.63629	Chibchan
kwi	Awa-Cuaiquer	D	none	1.216525	-78.340135	Barbacoan
awe	Awetí	D	none	-12.93358	-53.58519	Tupian
quy	Ayacucho Quechua	D	none	-13.84714	-74.32246	Quechuan
brg	Baure	A	verbal morphology	-13.12775	-64.18381	Arawakan
boa	Bora	A	verbal morphology	-2.91467	-68.90929	Boran
bor	Bororo	A	verbal morphology	-16.60295	-55.20043	Bororoan
qvc	Cajamarca Quechua	A	verbal morphology	-7.09314	-78.32141	Quechuan
caw	Callawalla	A	verbal morphology	-15.88451	-68.10176	Mixed Language
ram	Canela	D	none	-6.10712	-45.1299	Nuclear-Macro-Je
cav	Cavineña	A	verbal morphology	-13.35441	-66.62773	Pano-Tacanan
ayr	Central Aymara	D	none	-17.0	-68.5	Aymaran
cbg	Chimila	D	none	10.19016	-74.25585	Chibchan
cap	Chipaya	A	verbal morphology	-18.73951	-67.89633	Uru-Chipaya
cht	Cholón	A	verbal morphology	-9.23129	-75.96211	Hibito-Cholon
cod	Cocama-Cocamilla	D	none	-4.5	-74.0	Tupian
cub	Cubeo	B	auxiliary	1.32382	-70.193935	Tucanoan
quz	Cusco Quechua	C	both	-14.08527	-71.76625	Quechuan
des	Desano	A	verbal morphology	0.58157	-69.495545	Tucanoan
kwa	Dâw	A	verbal morphology	-0.1177	-67.29341	Nadahup
eme	Emerillon	D	none	3.23694	-52.36986	Tupian
gvo	Gavião Do Jiparaná	?	Not known	-10.7235	-61.67521	Tupian
gta	Guató	D	none	-17.86961	-57.28974	Guato
hix	Hixkaryána	A	verbal morphology	-0.16265	-58.80153	Cariban
qub	Huallaga Huánuco Quechua	C	both	-9.57135	-75.59401	Quechuan
qux	Huangascar-Topara-Yauyos Quechua	C	both	-13.11443	-75.76589	Quechuan
qwh	Huaylas Ancash Quechua	A	verbal morphology	-9.38709	-77.77681	Quechuan
jup	Hupdë	A	verbal morphology	0.58622	-69.835915	Nadahup
txi	Ikpeng	D	none	-11.37822	-53.49553	Cariban
qvi	Imbabura Highland Quichua	B	auxiliary	0.31776	-78.37286	Quechuan
inb	Inga	D	none	1.00313	-76.86062	Quechuan
ito	Itonama	D	none	-12.80431	-64.35748	Itonama
jaa	Jamamadí	D	none	-7.62223	-66.56619	Arawan
jqr	Jaqaru	D	none	-12.88233	-75.89576	Aymaran
qxw	Jauja Wanca Quechua	D	none	-11.67473	-75.2786	Quechuan
jur	Jurúna	?	Not known	-10.93541	-53.34717	Tupian
kay	Kamayurá	D	none	-12.26606	-53.46514	Tupian
kxo	Kanoê	D	none	-12.17894	-64.58121	Kanoe
ktn	Karitiâna	A	verbal morphology	-9.37937	-64.15219	Tupian
arr	Karo (Brazil)	A	verbal morphology	-10.33424	-61.56908	Tupian
knm	Katukína-Kanamarí	D	none	-6.45399	-68.7678	Katukinan
xwa	Kwaza	D	none	-11.6666666667	-61.1833333333	Kwaza
lkd	Lakondê	D	none	-13.2	-60.5	Nambiquaran
lec	Leco	D	none	-15.00921	-67.88181	Leko
arw	Lokono	A	verbal morphology	5.6429525	-56.924345	Arawakan
mpu	Makuráp	A	verbal morphology	-11.87014	-64.32007	Tupian
arn	Mapudungun	A	verbal morphology	-38.73917	-71.27701	Araucanian
mcf	Matsés	A	verbal morphology	-5.739145	-72.628105	Pano-Tacanan
omc	Mochica	A	verbal morphology	-8.01666666667	-79.0	Mochica
moc	Mocoví	A	verbal morphology	-28.09699	-60.41448	Guaicuruan
cas	Mosetén	A	verbal morphology	-14.64448	-67.83756	Moseten-Chimane
mzp	Movima	D	none	-13.81152	-65.63482	Movima
myu	Mundurukú	A	verbal morphology	-8.41095	-57.69099	Tupian
myr	Muniche	A	verbal morphology	-5.80546	-76.28113	Muniche
yrl	Nhengatu	A	verbal morphology	1.04502666667	-66.9645533333	Tupian
shb	Ninam	D	none	4.038935	-62.780115	Yanomamic
qvn	North Junín Quechua	A	verbal morphology	-11.21321	-75.81275	Quechuan
emp	Northern Emberá	D	none	7.12761	-77.57396	Chocoan
qvp	Pacaraos Quechua	D	none	-11.14278	-76.73046	Quechuan
pab	Parecís	A	verbal morphology	-14.59295	-57.40595	Arawakan
plg	Pilagá	D	none	-25.00585	-60.15372	Guaicuruan
