iso-639-3	name	value	description	latitude	longitude	family
agr	Aguaruna	A	posser-possedN	-5.30044	-77.92179	Chicham
apu	Apurinã	A	posser-possedN	-8.21692	-66.77141	Arawakan
arl	Arabela	A	posser-possedN	-1.96126	-75.06117	Zaparoan
arh	Arhuaco	A	posser-possedN	10.70184	-73.63629	Chibchan
kwi	Awa-Cuaiquer	A	posser-possedN	1.216525	-78.340135	Barbacoan
quy	Ayacucho Quechua	A	posser-possedN	-13.84714	-74.32246	Quechuan
ayo	Ayoreo	A	posser-possedN	-19.220055	-60.217495	Zamucoan
brg	Baure	B	possedN-posser	-13.12775	-64.18381	Arawakan
boa	Bora	A	posser-possedN	-2.91467	-68.90929	Boran
bor	Bororo	A	posser-possedN	-16.60295	-55.20043	Bororoan
qvc	Cajamarca Quechua	A	posser-possedN	-7.09314	-78.32141	Quechuan
caw	Callawalla	A	posser-possedN	-15.88451	-68.10176	Mixed Language
ram	Canela	A	posser-possedN	-6.10712	-45.1299	Nuclear-Macro-Je
cav	Cavineña	A	posser-possedN	-13.35441	-66.62773	Pano-Tacanan
ayr	Central Aymara	A	posser-possedN	-17.0	-68.5	Aymaran
ceg	Chamacoco	A	posser-possedN	-20.58988	-58.20047	Zamucoan
cap	Chipaya	A	posser-possedN	-18.73951	-67.89633	Uru-Chipaya
cht	Cholón	A	posser-possedN	-9.23129	-75.96211	Hibito-Cholon
cod	Cocama-Cocamilla	A	posser-possedN	-4.5	-74.0	Tupian
con	Cofán	A	posser-possedN	0.276675	-77.064305	Cofan
cub	Cubeo	A	posser-possedN	1.32382	-70.193935	Tucanoan
quz	Cusco Quechua	A	posser-possedN	-14.08527	-71.76625	Quechuan
des	Desano	A	posser-possedN	0.58157	-69.495545	Tucanoan
kwa	Dâw	D	both but for specific constructions	-0.1177	-67.29341	Nadahup
eme	Emerillon	A	posser-possedN	3.23694	-52.36986	Tupian
ese	Ese Ejja	A	posser-possedN	-11.72683	-67.51496	Pano-Tacanan
gvo	Gavião Do Jiparaná	A	posser-possedN	-10.7235	-61.67521	Tupian
